Date    	Latitude	Longitude	FloatID	DAC
 20201101	58.033	-47.105	6901170	bodc
 20201101	56.267	-54.291	4902510	meds
 20201101	57.178	-53.264	4902509	meds
 20201101	57.389	-51.571	4902505	meds
 20201101	59.921	-50.340	4902471	meds
 20201101	54.456	-50.419	3901669	coriolis
 20201101	54.339	-47.566	6901191	bodc
 20201101	66.973	-57.687	6902952	coriolis
 20201101	58.859	-58.043	6901194	bodc
 20201101	57.803	-54.672	3901668	coriolis
 20201101	58.752	-54.201	6903034	coriolis
 20201101	59.520	-54.042	6903032	coriolis
 20201101	58.455	-52.957	6902976	coriolis
 20201102	56.590	-50.590	6903030	coriolis
 20201102	58.237	-49.454	4902511	meds
 20201102	53.899	-48.733	4902477	meds
 20201102	55.900	-46.355	4902479	meds
 20201102	60.947	-51.389	6902805	coriolis
 20201102	56.799	-55.978	3901851	coriolis
 20201102	56.742	-46.511	6901171	bodc
 20201103	58.575	-56.305	4902119	aoml
 20201103	56.343	-52.292	4902504	meds
 20201103	60.434	-51.048	6901925	bodc
